aphia_id,scientific_name,family,common_name
387695,Opisthoteuthis hardyi,Opisthoteuthidae,
1813557,Insigniteuthis calypso,Opisthoteuthidae,
325333,Pareledone prydzensis,Megaleledonidae,
534100,Abdopus abaculus,Octopodidae,
1438204,Robsonella mernoo,Octopodidae,
410335,Amphitretus thielei,Amphitretidae,
325322,Graneledone antarctica,Megaleledonidae,
527149,Muusoctopus januarii,Enteroctopodidae,
325332,Pareledone panchroma,Megaleledonidae,
342272,Amphitretus pelagicus,Amphitretidae,
325334,Pareledone serperastrata,Megaleledonidae,
342223,Graneledone challengeri,Megaleledonidae,
341990,Octopus laqueus,Octopodidae,
1438202,Robsonella campbelli,Octopodidae,
341790,Japetella heathi,Amphitretidae,
237820,Tremoctopus gracilis,Tremoctopodidae,
420654,Pteroctopus schmidti,Octopodidae,
341958,Octopus californicus,Octopodidae,
535845,Callistoctopus nocturnus,Octopodidae,
599403,Tremoctopus robsonianus,Tremoctopodidae,
153084,Grimpoteuthis discoveryi,Grimpoteuthidae,
325340,Thaumeledone peninsulae,Megaleledonidae,
181387,Bathypolypus pugniger,Bathypolypodidae,
341963,Octopus conispadiceus,Octopodidae,
342101,Opisthoteuthis pluto,Opisthoteuthidae,
341962,Octopus chierchiae,Octopodidae,
220324,Cistopus indicus,Octopodidae,
139174,Cirrothauma murrayi,Cirroteuthidae,
342331,Grimpella thaumastocheir,Octopodidae,
534425,Macrochlaena winckworthi,Octopodidae,
153060,Opisthoteuthis massyae,Opisthoteuthidae,
342309,Euaxoctopus panamensis,Octopodidae,
342400,Tetracheledone spinicirrhus,Megaleledonidae,
342271,Amphioctopus arenicola,Octopodidae,
535625,Abdopus horridus,Octopodidae,
534111,Callistoctopus bunurong,Octopodidae,
342001,Octopus mimus,Octopodidae,
534587,Graneledone pacifica,Megaleledonidae,
342051,Pteroctopus hoylei,Octopodidae,
1775208,Vulcanoctopus tangaroa,Enteroctopodidae,
341942,Octopus alecto,Octopodidae,
534524,Callistoctopus taprobanensis,Octopodidae,
535780,Callistoctopus luteus,Octopodidae,
342259,Cirroctopus hochbergi,Cirroctopodidae,
342261,Thaumeledone brevis,Megaleledonidae,
866595,Cistopus platinoidus,Octopodidae,
341945,Octopus arborescens,Octopodidae,
342049,Octopus zonatus,Octopodidae,
342042,Octopus veligero,Octopodidae,
534527,Amphioctopus siamensis,Octopodidae,
342224,Graneledone gonzalezi,Megaleledonidae,
342209,Tremoctopus gelatus,Tremoctopodidae,
1805273,Pinnoctopus alpheus,Octopodidae,
342044,Octopus vitiensis,Octopodidae,
342093,Opisthoteuthis chathamensis,Opisthoteuthidae,
342020,Octopus prashadi,Octopodidae,
1775210,Vulcanoctopus tegginmathae,Enteroctopodidae,
534098,Amphioctopus kagoshimensis,Octopodidae,
535830,Amphioctopus membranaceus,Octopodidae,
325317,Adelieledone adelieana,Megaleledonidae,
342007,Octopus occidentalis,Octopodidae,
410363,Grimpoteuthis innominata,Grimpoteuthidae,
325330,Pareledone framensis,Megaleledonidae,
527167,Muusoctopus yaquinae,Enteroctopodidae,
457973,Galeoctopus lateralis,Octopodidae,
342266,Luteuthis dentatus,Grimpoteuthidae,
342047,Octopus wolfi,Octopodidae,
457616,Octopus humilis,Octopodidae,
325338,Praealtus paralbida,Megaleledonidae,
342264,Thaumeledone zeiss,Megaleledonidae,
1765490,Exsuperoteuthis depressa,Opisthoteuthidae,
534534,Macrotritopus scorpio,Octopodidae,
534567,Amphioctopus rex,Octopodidae,
342258,Cirroctopus antarcticus,Cirroctopodidae,
342398,Teretoctopus alcocki,Octopodidae,
341977,Octopus globosus,Octopodidae,
457975,Histoctopus zipkasae,Octopodidae,
1438201,Graneledone kubodera,Megaleledonidae,
534105,Octopus argus,Octopodidae,
457617,Octopus mariles,Octopodidae,
527153,Muusoctopus hokkaidensis,Enteroctopodidae,
1805277,Pinnoctopus graptus,Octopodidae,
724068,Pinnoctopus kermadecensis,Octopodidae,
341934,Eledone gaucha,Eledonidae,
342016,Octopus parvus,Octopodidae,
534517,Octopus variolatus,Octopodidae,
527143,Muusoctopus bizikovi,Enteroctopodidae,
884005,Muusoctopus thielei,Enteroctopodidae,
534522,Eledone schultzei,Eledonidae,
342310,Euaxoctopus pillsburyae,Octopodidae,
342417,Vulcanoctopus hydrothermalis,Enteroctopodidae,
153073,Grimpoteuthis challengeri,Grimpoteuthidae,
457615,Octopus gorgonus,Octopodidae,
140653,Opisthoteuthis grimaldii,Opisthoteuthidae,
534563,Amphioctopus robsoni,Octopodidae,
342079,Grimpoteuthis abyssicola,Grimpoteuthidae,
342102,Opisthoteuthis robsoni,Opisthoteuthidae,
342082,Grimpoteuthis bathynectes,Grimpoteuthidae,
153093,Grimpoteuthis boylei,Grimpoteuthidae,
342091,Opisthoteuthis borealis,Opisthoteuthidae,
410387,Opisthoteuthis bruuni,Opisthoteuthidae,
