date,store_id,staff_on_shift,labour_hours
2026-06-13,S03,2,16
2026-06-14,S03,2,16
2026-06-15,S03,2,16
2026-06-16,S03,2,16
2026-06-17,S03,2,16
2026-06-18,S03,2,16
2026-06-19,S03,2,16
2026-06-20,S03,2,16
2026-06-21,S03,2,16
2026-06-22,S03,2,16
2026-06-23,S03,2,16
2026-06-24,S03,2,16
2026-06-25,S03,2,16
2026-06-26,S03,2,16
2026-06-27,S03,2,16
2026-06-28,S03,2,16
2026-06-29,S03,2,16
2026-06-30,S03,2,16
2026-07-01,S03,2,16
2026-07-02,S03,2,16
2026-07-03,S03,2,16
2026-07-04,S03,2,16
2026-07-05,S03,2,16
2026-07-06,S03,2,16
2026-07-07,S03,2,16
2026-07-08,S03,2,16
2026-07-09,S03,2,16
2026-07-10,S03,2,16
2026-07-11,S03,2,16
2026-07-12,S03,2,16
2026-07-13,S03,2,16
2026-07-14,S03,2,16
2026-07-15,S03,2,16
2026-07-16,S03,2,16
2026-07-17,S03,2,16
2026-07-18,S03,2,16
2026-07-19,S03,2,16
2026-07-20,S03,2,16
2026-07-21,S03,2,16
2026-07-22,S03,2,16
2026-07-23,S03,2,16
2026-07-24,S03,2,16
2026-07-25,S03,2,16
2026-07-26,S03,2,16
2026-07-27,S03,2,16
2026-07-28,S03,2,16
2026-07-29,S03,2,16
2026-07-30,S03,2,16
2026-07-31,S03,2,16
2026-08-01,S03,2,16
2026-08-02,S03,2,16
2026-08-03,S03,2,16
2026-08-04,S03,2,16
2026-08-05,S03,2,16
2026-08-06,S03,2,16
2026-08-07,S03,2,16
2026-08-08,S03,2,16
2026-08-09,S03,2,16
2026-08-10,S03,2,16
2026-08-11,S03,2,16
2026-08-12,S03,2,16
2026-08-13,S03,2,16
2026-08-14,S03,2,16
2026-08-15,S03,2,16
2026-08-16,S03,2,16
2026-08-17,S03,2,16
2026-08-18,S03,2,16
2026-08-19,S03,2,16
2026-08-20,S03,2,16
2026-08-21,S03,2,16
2026-08-22,S03,2,16
2026-08-23,S03,2,16
2026-08-24,S03,2,16
2026-08-25,S03,2,16
2026-08-26,S03,2,16
2026-08-27,S03,2,16
2026-08-28,S03,2,16
2026-08-29,S03,2,16
2026-08-30,S03,2,16
2026-08-31,S03,2,16
2026-06-01,S04,2,16
2026-06-02,S04,2,16
2026-06-03,S04,2,16
2026-06-04,S04,2,16
2026-06-05,S04,2,16
2026-06-06,S04,2,16
2026-06-07,S04,2,16
2026-06-08,S04,2,16
2026-06-09,S04,2,16
2026-06-10,S04,2,16
2026-06-11,S04,2,16
2026-06-12,S04,2,16
2026-06-13,S04,2,16
2026-06-14,S04,2,16
2026-06-15,S04,2,16
2026-06-16,S04,2,16
2026-06-17,S04,2,16
2026-06-18,S04,2,16
2026-06-19,S04,2,16
2026-06-20,S04,2,16
2026-06-21,S04,2,16
2026-06-22,S04,2,16
2026-06-23,S04,2,16
2026-06-24,S04,2,16
2026-06-25,S04,2,16
2026-06-26,S04,2,16
2026-06-27,S04,2,16
2026-06-28,S04,2,16
2026-06-29,S04,2,16
2026-06-30,S04,2,16
2026-07-01,S04,2,16
2026-07-02,S04,2,16
2026-07-03,S04,2,16
2026-07-04,S04,2,16
2026-07-05,S04,2,16
2026-07-06,S04,2,16
2026-07-07,S04,2,16
2026-07-08,S04,2,16
2026-07-09,S04,2,16
2026-07-10,S04,2,16
2026-07-11,S04,2,16
2026-07-12,S04,2,16
2026-07-13,S04,2,16
2026-07-14,S04,2,16
2026-07-15,S04,2,16
2026-07-16,S04,2,16
2026-07-17,S04,2,16
2026-07-18,S04,2,16
2026-07-19,S04,2,16
2026-07-20,S04,2,16
2026-07-21,S04,2,16
2026-07-22,S04,2,16
2026-07-23,S04,2,16
2026-07-24,S04,2,16
2026-07-25,S04,2,16
2026-07-26,S04,2,16
2026-07-27,S04,2,16
2026-07-28,S04,2,16
2026-07-29,S04,2,16
2026-07-30,S04,2,16
2026-07-31,S04,2,16
2026-08-01,S04,2,16
2026-08-02,S04,2,16
2026-08-03,S04,2,16
2026-08-04,S04,2,16
2026-08-05,S04,2,16
2026-08-06,S04,2,16
2026-08-07,S04,2,16
2026-08-08,S04,2,16
2026-08-09,S04,2,16
2026-08-10,S04,2,16
2026-08-11,S04,2,16
2026-08-12,S04,2,16
2026-08-13,S04,2,16
2026-08-14,S04,2,16
2026-08-15,S04,2,16
2026-08-16,S04,2,16
2026-08-17,S04,2,16
2026-08-18,S04,2,16
2026-08-19,S04,2,16
2026-08-20,S04,2,16
2026-08-21,S04,2,16
2026-08-22,S04,2,16
2026-08-23,S04,2,16
2026-08-24,S04,2,16
2026-08-25,S04,2,16
2026-08-26,S04,2,16
2026-08-27,S04,2,16
2026-08-28,S04,2,16
2026-08-29,S04,2,16
2026-08-30,S04,2,16
2026-08-31,S04,2,16
2026-06-01,S05,2,16
2026-06-02,S05,2,16
2026-06-03,S05,2,16
2026-06-04,S05,2,16
2026-06-05,S05,2,16
2026-06-06,S05,2,16
2026-06-07,S05,2,16
2026-06-08,S05,2,16
2026-06-09,S05,2,16
2026-06-10,S05,2,16
2026-06-11,S05,2,16
2026-06-12,S05,2,16
2026-06-13,S05,2,16
2026-06-14,S05,2,16
2026-06-15,S05,2,16
2026-06-16,S05,2,16
2026-06-17,S05,2,16
2026-06-18,S05,2,16
2026-06-19,S05,2,16
2026-06-20,S05,2,16
2026-06-21,S05,2,16
2026-06-22,S05,2,16
2026-06-23,S05,2,16
2026-06-24,S05,2,16
2026-06-25,S05,2,16
2026-06-26,S05,2,16
2026-06-27,S05,2,16
2026-06-28,S05,2,16
2026-06-29,S05,2,16
2026-06-30,S05,2,16
2026-07-01,S05,2,16
2026-07-02,S05,2,16
2026-07-03,S05,2,16
2026-07-04,S05,2,16
2026-07-05,S05,2,16
2026-07-06,S05,2,16
2026-07-07,S05,2,16
2026-07-08,S05,2,16
2026-07-09,S05,2,16
2026-07-10,S05,2,16
2026-07-11,S05,2,16
2026-07-12,S05,2,16
2026-07-13,S05,2,16
2026-07-14,S05,2,16
2026-07-15,S05,2,16
2026-07-16,S05,2,16
2026-07-17,S05,2,16
2026-07-18,S05,2,16
2026-07-19,S05,2,16
2026-07-20,S05,2,16
2026-07-21,S05,2,16
2026-07-22,S05,2,16
2026-07-23,S05,2,16
2026-07-24,S05,2,16
2026-07-25,S05,2,16
2026-07-26,S05,2,16
2026-07-27,S05,2,16
2026-07-28,S05,2,16
2026-07-29,S05,2,16
2026-07-30,S05,2,16
2026-07-31,S05,2,16
2026-08-01,S05,2,16
2026-08-02,S05,2,16
2026-08-03,S05,2,16
2026-08-04,S05,2,16
2026-08-05,S05,2,16
2026-08-06,S05,2,16
2026-08-07,S05,2,16
2026-08-08,S05,2,16
2026-08-09,S05,2,16
2026-08-10,S05,2,16
2026-08-11,S05,2,16
2026-08-12,S05,2,16
2026-08-13,S05,2,16
2026-08-14,S05,2,16
2026-08-15,S05,2,16
2026-08-16,S05,2,16
2026-08-17,S05,2,16
2026-08-18,S05,2,16
2026-08-19,S05,2,16
2026-08-20,S05,2,16
2026-08-21,S05,2,16
2026-08-22,S05,2,16
2026-08-23,S05,2,16
2026-08-24,S05,2,16
2026-08-25,S05,2,16
2026-08-26,S05,2,16
2026-08-27,S05,2,16
2026-08-28,S05,2,16
2026-08-29,S05,2,16
2026-08-30,S05,2,16
2026-08-31,S05,2,16
2026-06-01,S06,2,16
2026-06-02,S06,2,16
2026-06-03,S06,2,16
2026-06-04,S06,2,16
2026-06-05,S06,2,16
2026-06-06,S06,2,16
2026-06-07,S06,2,16
2026-06-08,S06,2,16
2026-06-09,S06,2,16
2026-06-10,S06,2,16
2026-06-11,S06,2,16
2026-06-12,S06,2,16
2026-06-13,S06,2,16
2026-06-14,S06,2,16
2026-06-15,S06,2,16
2026-06-16,S06,2,16
2026-06-17,S06,2,16
2026-06-18,S06,2,16
2026-06-19,S06,2,16
2026-06-20,S06,2,16
2026-06-21,S06,2,16
2026-06-22,S06,2,16
2026-06-23,S06,2,16
2026-06-24,S06,2,16
2026-06-25,S06,2,16
2026-06-26,S06,2,16
2026-06-27,S06,2,16
2026-06-28,S06,2,16
2026-06-29,S06,2,16
2026-06-30,S06,2,16
2026-07-01,S06,2,16
2026-07-02,S06,2,16
2026-07-03,S06,2,16
2026-07-04,S06,2,16
2026-07-05,S06,2,16
2026-07-06,S06,2,16
2026-07-07,S06,2,16
2026-07-08,S06,2,16
2026-07-09,S06,2,16
2026-07-10,S06,2,16
2026-07-11,S06,2,16
2026-07-12,S06,2,16
2026-07-13,S06,2,16
2026-07-14,S06,2,16
2026-07-15,S06,2,16
2026-07-16,S06,2,16
2026-07-17,S06,2,16
2026-07-18,S06,2,16
2026-07-19,S06,2,16
2026-07-20,S06,2,16
2026-07-21,S06,2,16
2026-07-22,S06,2,16
2026-07-23,S06,2,16
2026-07-24,S06,2,16
2026-07-25,S06,2,16
2026-07-26,S06,2,16
2026-07-27,S06,2,16
2026-07-28,S06,2,16
2026-07-29,S06,2,16
2026-07-30,S06,2,16
2026-07-31,S06,2,16
2026-08-01,S06,2,16
2026-08-02,S06,2,16
2026-08-03,S06,2,16
2026-08-04,S06,2,16
2026-08-05,S06,2,16
2026-08-06,S06,2,16
2026-08-07,S06,2,16
2026-08-08,S06,2,16
2026-08-09,S06,2,16
2026-08-10,S06,2,16
2026-08-11,S06,2,16
2026-08-12,S06,2,16
2026-08-13,S06,2,16
2026-08-14,S06,2,16
2026-08-15,S06,2,16
2026-08-16,S06,2,16
2026-08-17,S06,2,16
2026-08-18,S06,2,16
2026-08-19,S06,2,16
2026-08-20,S06,2,16
2026-08-21,S06,2,16
2026-08-22,S06,2,16
2026-08-23,S06,2,16
2026-08-24,S06,2,16
2026-08-25,S06,2,16
2026-08-26,S06,2,16
2026-08-27,S06,2,16
2026-08-28,S06,2,16
2026-08-29,S06,2,16
2026-08-30,S06,2,16
2026-08-31,S06,2,16
