date,store_id,temp_max_c,rain_mm
2026-07-28,S02,27.5,0.0
2026-07-29,S02,32.7,0.0
2026-07-30,S02,36.1,0.0
2026-07-31,S02,37.0,0.0
2026-08-01,S02,35.5,3.1
2026-08-02,S02,27.9,0.1
2026-08-03,S02,35.2,0.1
2026-08-04,S02,38.4,0.0
2026-08-05,S02,37.4,0.1
2026-08-06,S02,31.6,0.3
2026-08-07,S02,28.9,0.3
2026-08-08,S02,28.9,0.0
2026-08-09,S02,30.3,0.0
2026-08-10,S02,33.1,0.2
2026-08-11,S02,28.7,0.0
2026-08-12,S02,25.9,0.0
2026-08-13,S02,27.9,0.0
2026-08-14,S02,29.9,0.0
2026-08-15,S02,33.0,0.0
2026-08-16,S02,34.1,0.0
2026-08-17,S02,28.9,5.1
2026-08-18,S02,23.3,0.0
2026-08-19,S02,27.6,0.4
2026-08-20,S02,31.8,7.0
2026-08-21,S02,26.4,3.4
2026-08-22,S02,23.2,0.6
2026-08-23,S02,23.5,0.0
2026-08-24,S02,24.8,0.0
2026-08-25,S02,22.4,0.1
2026-08-26,S02,25.6,0.7
2026-08-27,S02,30.0,0.2
2026-08-28,S02,30.9,0.2
2026-08-29,S02,24.7,21.2
2026-08-30,S02,28.0,0.0
2026-08-31,S02,25.9,1.2
2026-06-01,S03,19.1,9.2
2026-06-02,S03,23.9,0.3
2026-06-03,S03,24.2,11.8
2026-06-04,S03,22.1,2.8
2026-06-05,S03,20.5,5.6
2026-06-06,S03,22.0,0.0
2026-06-07,S03,24.4,1.4
2026-06-08,S03,25.3,0.0
2026-06-09,S03,28.1,13.2
2026-06-10,S03,16.2,12.9
2026-06-11,S03,16.6,9.3
2026-06-12,S03,19.1,0.4
2026-06-13,S03,21.6,3.2
2026-06-14,S03,18.4,1.5
2026-06-15,S03,18.1,0.5
2026-06-16,S03,22.8,0.4
2026-06-17,S03,23.6,1.2
2026-06-18,S03,26.0,0.0
2026-06-19,S03,30.4,0.2
2026-06-20,S03,32.7,0.3
2026-06-21,S03,30.6,0.9
2026-06-22,S03,28.1,4.1
2026-06-23,S03,28.4,0.0
2026-06-24,S03,29.1,0.0
2026-06-25,S03,32.4,0.0
2026-06-26,S03,33.8,0.4
2026-06-27,S03,36.5,0.0
2026-06-28,S03,37.9,0.0
2026-06-29,S03,38.2,0.4
2026-06-30,S03,33.5,0.1
2026-07-01,S03,29.2,5.9
2026-07-02,S03,25.7,0.7
2026-07-03,S03,23.2,0.4
2026-07-04,S03,24.4,0.0
2026-07-05,S03,23.0,12.0
2026-07-06,S03,22.2,1.7
2026-07-07,S03,24.2,1.6
2026-07-08,S03,21.1,5.0
2026-07-09,S03,20.9,1.0
2026-07-10,S03,23.7,0.3
2026-07-11,S03,23.8,0.5
2026-07-12,S03,22.2,5.7
2026-07-13,S03,26.0,0.4
2026-07-14,S03,27.9,2.2
2026-07-15,S03,23.1,7.0
2026-07-16,S03,28.4,0.2
2026-07-17,S03,32.2,5.3
2026-07-18,S03,26.5,20.1
2026-07-19,S03,24.9,14.3
2026-07-20,S03,21.7,1.4
2026-07-21,S03,20.6,0.4
2026-07-22,S03,23.1,0.0
2026-07-23,S03,19.5,15.1
2026-07-24,S03,20.4,0.1
2026-07-25,S03,25.1,0.0
2026-07-26,S03,29.6,0.0
2026-07-27,S03,26.1,6.7
2026-07-28,S03,24.4,3.1
2026-07-29,S03,29.5,0.0
2026-07-30,S03,34.5,0.0
2026-07-31,S03,36.4,0.0
2026-08-01,S03,34.2,0.9
2026-08-02,S03,24.9,0.3
2026-08-03,S03,33.2,0.2
2026-08-04,S03,38.1,0.0
2026-08-05,S03,38.2,0.0
2026-08-06,S03,33.7,0.9
2026-08-07,S03,24.6,15.6
2026-08-08,S03,25.0,0.0
2026-08-09,S03,29.2,0.0
2026-08-10,S03,32.6,0.9
2026-08-11,S03,25.7,0.0
2026-08-12,S03,24.1,0.0
2026-08-13,S03,25.6,0.0
2026-08-14,S03,28.5,0.0
2026-08-15,S03,33.1,0.0
2026-08-16,S03,33.7,0.1
2026-08-17,S03,27.9,7.3
2026-08-18,S03,20.7,0.6
2026-08-19,S03,23.4,0.2
2026-08-20,S03,29.4,6.9
2026-08-21,S03,26.3,2.7
2026-08-22,S03,21.8,8.7
2026-08-23,S03,22.6,0.1
2026-08-24,S03,22.1,0.0
2026-08-25,S03,17.2,0.8
2026-08-26,S03,22.9,0.2
2026-08-27,S03,26.3,0.0
2026-08-28,S03,31.0,0.0
2026-08-29,S03,24.4,9.6
2026-08-30,S03,27.5,0.0
2026-08-31,S03,26.6,0.8
2026-06-01,S04,21.0,8.8
2026-06-02,S04,23.9,0.4
2026-06-03,S04,20.6,0.5
2026-06-04,S04,24.1,0.8
2026-06-05,S04,19.4,9.6
2026-06-06,S04,22.7,0.5
2026-06-07,S04,23.4,0.3
2026-06-08,S04,26.5,0.0
2026-06-09,S04,20.7,2.1
2026-06-10,S04,16.3,3.8
2026-06-11,S04,17.3,5.5
2026-06-12,S04,16.5,2.5
2026-06-13,S04,23.2,1.0
2026-06-14,S04,18.3,0.0
2026-06-15,S04,19.9,0.0
2026-06-16,S04,23.5,2.9
2026-06-17,S04,27.2,4.8
2026-06-18,S04,30.6,0.0
2026-06-19,S04,33.4,0.0
2026-06-20,S04,32.3,3.5
2026-06-21,S04,32.6,2.6
2026-06-22,S04,28.8,2.3
2026-06-23,S04,29.7,0.2
2026-06-24,S04,32.9,0.0
2026-06-25,S04,34.8,0.0
2026-06-26,S04,35.5,0.0
2026-06-27,S04,37.3,0.0
2026-06-28,S04,39.2,0.0
2026-06-29,S04,30.5,3.9
2026-06-30,S04,28.3,5.0
2026-07-01,S04,23.6,10.9
2026-07-02,S04,26.0,0.0
2026-07-03,S04,24.9,0.4
2026-07-04,S04,24.3,0.0
2026-07-05,S04,24.4,0.0
2026-07-06,S04,23.1,1.1
2026-07-07,S04,28.8,0.0
2026-07-08,S04,25.1,0.4
2026-07-09,S04,26.5,0.0
2026-07-10,S04,28.6,0.0
2026-07-11,S04,29.0,0.0
2026-07-12,S04,28.6,0.0
2026-07-13,S04,30.3,0.2
2026-07-14,S04,30.7,3.9
2026-07-15,S04,26.6,1.7
2026-07-16,S04,30.2,1.4
2026-07-17,S04,29.2,3.4
2026-07-18,S04,27.0,7.7
2026-07-19,S04,21.6,6.9
2026-07-20,S04,23.0,0.1
2026-07-21,S04,21.8,0.1
2026-07-22,S04,22.8,0.0
2026-07-23,S04,20.0,0.0
2026-07-24,S04,26.4,0.0
2026-07-25,S04,29.6,0.0
2026-07-26,S04,30.7,0.0
2026-07-27,S04,23.8,0.6
2026-07-28,S04,27.9,0.0
2026-07-29,S04,33.0,0.0
2026-07-30,S04,37.0,0.0
2026-07-31,S04,36.4,0.2
2026-08-01,S04,28.5,4.2
2026-08-02,S04,26.1,0.0
2026-08-03,S04,34.3,0.9
2026-08-04,S04,34.9,1.1
2026-08-05,S04,35.1,0.4
2026-08-06,S04,31.6,0.2
2026-08-07,S04,28.4,0.0
2026-08-08,S04,28.7,0.0
2026-08-09,S04,32.2,0.0
2026-08-10,S04,33.6,0.2
2026-08-11,S04,27.6,0.0
2026-08-12,S04,27.2,0.0
2026-08-13,S04,29.1,0.0
2026-08-14,S04,32.3,0.0
2026-08-15,S04,34.6,0.0
2026-08-16,S04,29.1,2.3
2026-08-17,S04,25.7,4.5
2026-08-18,S04,19.5,9.4
2026-08-19,S04,25.6,0.9
2026-08-20,S04,25.9,2.9
2026-08-21,S04,26.2,22.0
2026-08-22,S04,19.3,2.0
2026-08-23,S04,21.4,0.0
2026-08-24,S04,21.8,0.0
2026-08-25,S04,22.9,1.4
2026-08-26,S04,24.7,0.3
2026-08-27,S04,29.2,0.0
2026-08-28,S04,29.5,3.9
2026-08-29,S04,23.2,6.9
2026-08-30,S04,26.5,0.0
2026-08-31,S04,23.7,9.3
2026-06-01,S05,20.2,12.1
2026-06-02,S05,23.9,0.0
2026-06-03,S05,19.6,9.2
2026-06-04,S05,22.8,2.2
2026-06-05,S05,16.9,2.6
2026-06-06,S05,23.8,0.2
2026-06-07,S05,24.6,0.9
2026-06-08,S05,25.9,0.0
2026-06-09,S05,27.6,4.4
2026-06-10,S05,16.4,4.7
2026-06-11,S05,17.6,7.9
2026-06-12,S05,19.8,0.5
2026-06-13,S05,22.2,1.7
2026-06-14,S05,19.0,0.1
2026-06-15,S05,19.0,0.9
2026-06-16,S05,24.4,0.0
2026-06-17,S05,25.9,0.4
2026-06-18,S05,27.2,0.0
2026-06-19,S05,31.9,0.0
2026-06-20,S05,34.5,0.6
2026-06-21,S05,32.3,0.0
2026-06-22,S05,29.4,2.5
2026-06-23,S05,28.2,0.0
2026-06-24,S05,29.1,0.0
2026-06-25,S05,32.4,0.0
2026-06-26,S05,33.8,0.0
2026-06-27,S05,36.8,0.0
2026-06-28,S05,38.6,0.0
2026-06-29,S05,38.9,0.3
2026-06-30,S05,33.8,0.5
2026-07-01,S05,32.6,6.9
2026-07-02,S05,27.1,0.8
2026-07-03,S05,23.3,0.0
2026-07-04,S05,23.4,0.0
2026-07-05,S05,24.4,0.8
2026-07-06,S05,23.4,0.5
2026-07-07,S05,27.2,1.7
2026-07-08,S05,24.0,0.2
2026-07-09,S05,24.6,0.0
2026-07-10,S05,26.0,0.0
2026-07-11,S05,26.6,0.0
2026-07-12,S05,24.7,0.6
2026-07-13,S05,28.5,0.2
2026-07-14,S05,31.6,5.2
2026-07-15,S05,25.1,13.0
2026-07-16,S05,28.9,0.9
2026-07-17,S05,31.3,7.8
2026-07-18,S05,25.1,1.2
2026-07-19,S05,25.3,6.9
2026-07-20,S05,21.4,0.4
2026-07-21,S05,21.4,0.0
2026-07-22,S05,23.0,0.0
2026-07-23,S05,21.5,2.9
2026-07-24,S05,22.8,0.0
2026-07-25,S05,27.5,0.0
2026-07-26,S05,30.9,0.0
2026-07-27,S05,25.6,1.5
2026-07-28,S05,25.7,0.0
2026-07-29,S05,31.5,0.0
2026-07-30,S05,35.4,0.0
2026-07-31,S05,37.5,0.0
2026-08-01,S05,35.2,2.9
2026-08-02,S05,25.5,0.0
2026-08-03,S05,34.8,0.0
2026-08-04,S05,37.1,0.0
2026-08-05,S05,37.6,0.0
2026-08-06,S05,31.6,0.2
2026-08-07,S05,28.6,2.0
2026-08-08,S05,27.9,0.0
2026-08-09,S05,29.9,0.0
2026-08-10,S05,32.8,0.4
2026-08-11,S05,27.7,0.0
2026-08-12,S05,24.9,0.0
2026-08-13,S05,27.3,0.0
2026-08-14,S05,29.8,0.0
2026-08-15,S05,33.5,0.0
2026-08-16,S05,34.4,1.0
2026-08-17,S05,28.1,9.6
2026-08-18,S05,21.4,0.0
2026-08-19,S05,25.4,0.6
2026-08-20,S05,29.9,3.1
2026-08-21,S05,26.1,2.7
2026-08-22,S05,21.3,1.2
2026-08-23,S05,21.2,0.3
2026-08-24,S05,22.3,0.0
2026-08-25,S05,20.4,3.4
2026-08-26,S05,23.5,0.0
2026-08-27,S05,28.7,0.0
2026-08-28,S05,30.4,0.0
2026-08-29,S05,24.1,14.4
2026-08-30,S05,27.8,0.0
2026-08-31,S05,24.2,3.1
2026-06-01,S06,18.9,10.1
2026-06-02,S06,23.0,0.0
2026-06-03,S06,17.5,12.9
2026-06-04,S06,21.8,0.2
2026-06-05,S06,16.2,18.6
2026-06-06,S06,21.3,0.0
2026-06-07,S06,19.6,3.7
2026-06-08,S06,22.7,0.0
2026-06-09,S06,19.7,6.1
2026-06-10,S06,15.3,2.6
2026-06-11,S06,15.3,9.5
2026-06-12,S06,13.8,3.3
2026-06-13,S06,19.0,6.9
2026-06-14,S06,14.7,4.0
2026-06-15,S06,15.2,2.2
2026-06-16,S06,20.5,3.6
2026-06-17,S06,21.8,9.0
2026-06-18,S06,25.2,0.5
2026-06-19,S06,29.6,0.4
2026-06-20,S06,29.6,3.6
2026-06-21,S06,29.6,0.8
2026-06-22,S06,25.8,0.3
2026-06-23,S06,24.1,0.0
2026-06-24,S06,27.4,0.0
2026-06-25,S06,30.1,0.0
2026-06-26,S06,31.2,0.0
2026-06-27,S06,34.7,0.0
2026-06-28,S06,35.7,0.0
2026-06-29,S06,30.5,7.9
2026-06-30,S06,26.2,13.3
2026-07-01,S06,19.8,11.3
2026-07-02,S06,23.8,0.0
2026-07-03,S06,20.6,1.9
2026-07-04,S06,18.6,1.1
2026-07-05,S06,20.3,8.3
2026-07-06,S06,18.9,4.1
2026-07-07,S06,22.9,5.5
2026-07-08,S06,18.9,4.3
2026-07-09,S06,20.5,0.0
2026-07-10,S06,22.5,0.0
2026-07-11,S06,21.5,0.6
2026-07-12,S06,23.2,0.2
2026-07-13,S06,25.3,0.4
2026-07-14,S06,24.8,4.0
2026-07-15,S06,22.2,5.1
2026-07-16,S06,25.5,0.6
2026-07-17,S06,28.1,1.6
2026-07-18,S06,23.6,2.2
2026-07-19,S06,17.3,9.7
2026-07-20,S06,17.9,1.8
2026-07-21,S06,17.8,1.6
2026-07-22,S06,19.4,1.7
2026-07-23,S06,15.8,12.3
2026-07-24,S06,19.8,1.2
2026-07-25,S06,25.5,0.0
2026-07-26,S06,27.6,0.0
2026-07-27,S06,19.9,6.5
2026-07-28,S06,22.3,0.6
2026-07-29,S06,28.0,0.0
2026-07-30,S06,33.3,0.0
2026-07-31,S06,32.1,0.2
2026-08-01,S06,26.2,8.8
2026-08-02,S06,22.5,1.5
2026-08-03,S06,29.1,0.1
2026-08-04,S06,31.7,3.7
2026-08-05,S06,31.2,2.2
2026-08-06,S06,28.3,1.9
2026-08-07,S06,22.1,0.0
2026-08-08,S06,22.4,0.0
2026-08-09,S06,27.6,0.0
2026-08-10,S06,30.1,0.0
2026-08-11,S06,20.5,0.0
2026-08-12,S06,22.3,0.0
2026-08-13,S06,25.0,0.0
2026-08-14,S06,28.0,0.0
2026-08-15,S06,31.2,0.0
2026-08-16,S06,25.1,0.9
2026-08-17,S06,21.6,22.1
2026-08-18,S06,17.9,3.8
2026-08-19,S06,22.2,2.1
2026-08-20,S06,23.8,3.7
2026-08-21,S06,24.4,40.0
2026-08-22,S06,16.3,23.6
2026-08-23,S06,17.6,0.4
2026-08-24,S06,17.7,0.0
2026-08-25,S06,21.8,0.0
2026-08-26,S06,18.6,1.5
2026-08-27,S06,24.9,0.0
2026-08-28,S06,26.2,3.0
2026-08-29,S06,21.9,8.8
2026-08-30,S06,24.6,0.4
2026-08-31,S06,21.4,5.4
